Name,Description,Venue,Start Time,End Time
Nritya Ghata,Eastern Dance,Auditorium,10:45:00,12:00:00
Sur Sangram,Eastern Music (Solo),Seminary Hall,09:30:00,11:00:00
Jailhouse Rock,Western Music,Auditorium,13:00:00,14:30:00
The Red Shoes,Western Dance,Auditorium,14:45:00,16:15:00
Swades,Heritage India,Seminary Hall,11:45:00,13:00:00
The Meeting,Cosplay,Junior A.V. Room,09:30:00,11:00:00
Devil's Advocate,Debate,Junior A.V. Room,09:30:00,11:00:00
Hogwart's House,Crisis,Senior A.V. Room,09:30:00,13:00:00
Moulin Rogue,Unconventional Music,Bosco Arena,09:30:00,11:30:00
Pother Panchali,Street Play,Bosco Arena,11:30:00,13:00:00
Stomp the Yard [BOYS],Cypher [BOYS],New BasketBall Ground,09:30:00,10:30:00
Stomp the Yard [GIRLS],Cypher [GIRLS],New BasketBall Ground,10:30:00,11:30:00
Soccernomics,Football,Seminary Ground,09:30:00,
Top Spin,Table Tennis,TT Room,09:30:00,
Shaolin Soccer,Foosball,TT Room,09:30:00,
Kingsmen,Chess,Class 11 B,09:30:00,
Untitled 96 [Clicking],Photography [Clicking],Senior Computer Lab,09:30:00,12:00:00
Untitled 96 [Editing],Photography [Editing],Senior Computer Lab,12:00:00,13:00:00
Striker,Carrom,Senior A.V. Room Corridor,09:30:00,
Clash of Titans [GIRLS],Throwball [GIRLS],Bicentinary Ground,09:30:00,
The Miracle Season,Volleyball,Volleyball Arena,09:30:00,
Vinci Da,Painting,Class 1 A,09:30:00,11:30:00
Quilling,Quilling,Class 1 B and 1 C,09:30:00,12:00:00
Dress Designing,Dress Designing,Class 1 D,09:30:00,11:30:00
Webpage Desiging,The Matrix,Senior Computer Lab,09:30:00,12:00:00
Hercules,Tug of War,Junior Sports Ground,11:30:00,12:30:00
Mission Impossible,Treasure Hunt,School Campus,09:30:00,12:30:00
Pitch Perfect,Acapella,Auditorium,09:30:00,10:30:00
