"Name","Description","Venue","Timings"
"Nritya Ghata","Eastern Dance","Auditorium","10:45am to 12:00 noon"
"Sur Sangam","Eastern Music (Solo)","Seminary Hall","09:30am to 11:00 am"
"Jailhouse Rock","Western Music","Auditorium","1:00 pm to 2:30 pm"
"The Red Shoes","Western Dance","Auditorium","2:45 pm to 4:15 pm"
"Swades","Heritage India","Seminary Hall","11:15 am to 1:00 pm"
"The Meeting","Cosplay","Junior A.V. Room","11:30 am to 1:00 pm"
"Devil's Advocate","Debate","Junior A.V. Room","09:30 am to 11:00 am"
"Hogwart's House","Crisis","Senior A.V. Room","09:30 am to 1:00 pm"
"Moulin Rogue","Unconventional Music","Bosco Arena","09:30 am to 11:30 am"
"Pother Panchali","Street Play","Bosco Arena","11:30 am to 1:00 pm"
"Stomp the Yard [BOYS]","Cypher [BOYS]","New BasketBall Ground","09:30 am to 10:30 am"
"Stomp the Yard [GIRLS]","Cypher [GIRLS]","New BasketBall Ground","10:30 am to 11:30 am"
"Soccernomics","Football","Seminary Ground","09:30 am -"
"Top Spin","Table Tennis","TT Room","09:30 am -"
"Shaolin Soccer","Foosball","TT Room","09:30 am -"
"Kingsmen","Chess","Class 11 B","09:30 am -"
"Untitled 96","Photography","Senior Computer Lab","09:30am to 12:00 noon (Clicking) | 12:00 noon to 1:00 pm (Editing)"
"Striker","Carrom","Senior A.V. Room Corridor","09:30 am -"
"Clash of Titans [GIRLS]","Throwball [GIRLS]","Bicentinary Ground","09:30 am -"
"The Miracle Season","Volleyball","Volleyball Arena","09:30 am -"
"Vinci Da","Painting","Class 1 A","09:30 am to 11:30 am"
"Quilling","Quilling","Class 1 B and 1 C","09:30 am to 12:00 noon"
"Dress Designing","Dress Designing","Class 1 D","09:30 am to 11:30 am"
"The Matrix","Webpage Designing","Senior Computer Lab","09:30 am to 12:00 noon"
"Hercules","Tug of War","Junior Sports Ground","11:30 am to 12:30 pm"
"Mission Impossible","Treasure Hunt","School Campus","09:30 am to 12:30 pm"
"Pitch Perfect","Acapella","Auditorium","09:30 am to 10:30 am"
